id,surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data,outcome
255,yes,adult,528469,38.1,92.0,36.0,cool,reduced,dark_cyanotic,less_3_sec,depressed,absent,none,slight,more_1_liter,6.5,decreased,distend_small,60.0,8.1,cloudy,2.6,yes,2112,0,0,no,died
256,yes,adult,530242,37.2,108.0,12.0,cool,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,slight,slight,more_1_liter,6.0,decreased,distend_small,69.0,8.9,serosanguious,6.0,yes,2207,0,0,yes,died
257,yes,adult,534624,37.3,78.0,28.0,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,none,none,more_1_liter,1.0,normal,distend_large,57.0,80.0,serosanguious,2.0,yes,4205,0,0,no,euthanized
258,yes,adult,530034,37.4,76.0,51.0,cool,absent,pale_cyanotic,more_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,2.0,absent,distend_large,60.0,6.5,serosanguious,4.6,yes,2205,0,0,no,died
259,no,adult,529628,38.3,48.0,20.0,cool,normal,normal_pink,less_3_sec,alert,hypermotile,none,none,none,1.0,normal,other,48.0,7.6,cloudy,1.0,no,400,0,0,yes,lived
260,yes,adult,529663,38.3,60.0,14.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,7.0,absent,distend_small,41.0,6.6,clear,5.0,yes,2209,0,0,no,lived
261,yes,adult,528469,37.5,49.0,9.0,normal,normal,bright_pink,less_3_sec,alert,hypomotile,slight,slight,less_1_liter,6.5,normal,other,49.0,8.0,cloudy,7.6,no,400,0,0,yes,lived
262,yes,young,530402,40.3,114.0,36.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,severe,none,none,6.5,absent,distend_large,57.0,6.0,serosanguious,4.8,yes,2205,0,0,no,died
263,yes,adult,530366,38.4,88.0,40.0,normal,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,7.0,absent,distend_large,44.0,6.1,serosanguious,3.9,no,5400,0,0,yes,died
264,yes,adult,529160,38.9,48.0,32.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,4.5,decreased,normal,39.0,6.6,clear,2.6,yes,3111,0,0,yes,lived
265,yes,adult,535407,37.3,129.0,24.0,cool,normal,bright_pink,less_3_sec,depressed,absent,moderate,slight,more_1_liter,2.0,normal,distend_small,57.0,82.0,serosanguious,2.0,no,2205,0,0,no,euthanized
266,yes,adult,5290409,37.2,108.0,48.0,cold,reduced,pale_pink,more_3_sec,extreme_pain,hypomotile,moderate,slight,more_1_liter,5.4,decreased,distend_large,55.0,6.5,serosanguious,4.5,no,4205,0,0,yes,died
267,yes,adult,5287179,37.8,88.0,48.0,cool,reduced,pale_pink,less_3_sec,extreme_pain,absent,moderate,significant,none,4.4,absent,distend_small,48.0,8.6,serosanguious,2.9,yes,2208,0,0,yes,died
268,yes,adult,528548,37.5,66.0,12.0,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,slight,none,3.0,increased,distend_large,44.0,6.0,cloudy,3.6,yes,2124,0,0,yes,lived
269,no,young,529461,40.3,114.0,36.0,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,severe,slight,none,7.0,absent,distend_large,57.0,8.1,cloudy,2.3,yes,7400,0,0,yes,euthanized
270,yes,adult,529461,39.2,114.0,36.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,slight,slight,none,7.0,normal,distend_small,57.0,6.6,serosanguious,3.2,yes,2208,0,0,no,euthanized
271,yes,adult,535196,38.3,52.0,12.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,more_1_liter,2.0,decreased,distend_small,41.0,61.0,clear,2.0,yes,2205,0,0,no,lived
272,no,adult,527677,39.0,86.0,20.0,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,slight,none,more_1_liter,5.0,absent,distend_small,48.0,6.6,serosanguious,5.3,yes,5400,0,0,yes,died
273,yes,adult,530233,37.3,64.0,48.0,cool,reduced,pale_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,none,4.5,normal,distend_large,48.0,7.6,cloudy,4.5,yes,3209,0,0,yes,died
274,no,young,535043,38.4,56.0,68.0,warm,increased,normal_pink,less_3_sec,depressed,hypomotile,none,significant,none,7.0,decreased,other,41.0,77.0,clear,1.0,no,4300,0,0,no,lived
275,yes,adult,526639,38.2,64.0,40.0,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,2.0,decreased,distend_large,41.0,6.6,cloudy,2.0,yes,300,0,0,yes,died
276,no,adult,5301219,39.6,72.0,48.0,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,severe,none,less_1_liter,4.0,absent,distend_large,66.0,7.5,cloudy,2.9,yes,1400,0,0,no,died
277,no,adult,528682,38.0,52.0,12.0,normal,normal,normal_pink,less_3_sec,alert,normal,none,slight,none,5.3,normal,normal,42.0,7.2,clear,5.0,no,3111,0,0,yes,lived
278,no,adult,529663,38.3,114.0,36.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,none,none,6.5,absent,distend_large,63.0,8.1,serosanguious,3.9,yes,3205,0,0,no,euthanized
279,yes,adult,528996,37.2,48.0,12.0,cool,reduced,normal_pink,less_3_sec,mild_pain,normal,slight,none,more_1_liter,5.5,normal,distend_small,35.0,8.0,clear,5.0,yes,2112,0,0,yes,lived
280,yes,adult,535196,37.2,88.0,30.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,severe,none,none,2.0,absent,distend_large,57.0,66.0,serosanguious,2.0,yes,3205,0,0,no,euthanized
281,yes,adult,529703,39.2,64.0,90.0,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,7.0,absent,distend_small,39.0,6.7,serosanguious,4.5,yes,2208,0,0,yes,died
282,no,adult,530242,36.4,108.0,12.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,7.0,decreased,normal,47.0,8.2,serosanguious,6.0,yes,2205,0,0,yes,died
283,yes,adult,529126,38.0,88.0,96.0,cool,reduced,pale_cyanotic,less_3_sec,depressed,hypomotile,slight,slight,less_1_liter,5.5,absent,distend_small,54.0,6.6,serosanguious,4.3,yes,2205,0,0,no,died
284,no,adult,528178,38.6,48.0,12.0,cool,normal,normal_pink,less_3_sec,alert,hypermotile,slight,slight,more_1_liter,5.0,normal,normal,43.0,7.2,clear,3.6,no,3111,0,0,yes,lived
285,yes,adult,529667,38.4,52.0,16.0,warm,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,more_1_liter,5.5,normal,distend_large,45.0,7.0,clear,1.0,yes,7111,0,0,no,euthanized
286,yes,young,5290409,38.2,164.0,84.0,cold,normal,dark_cyanotic,more_3_sec,depressed,absent,severe,none,less_1_liter,5.0,decreased,distend_small,48.0,7.4,serosanguious,3.4,yes,2208,0,0,yes,died
287,yes,adult,5287179,38.1,136.0,40.0,cool,reduced,normal_pink,less_3_sec,extreme_pain,hypomotile,moderate,significant,less_1_liter,4.4,absent,distend_small,47.0,4.9,serosanguious,3.9,yes,2209,0,0,no,died
288,yes,adult,529796,39.1,52.0,60.0,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,1.0,decreased,distend_small,49.0,10.2,clear,1.6,yes,2124,0,0,no,lived
289,yes,adult,534163,38.6,60.0,44.0,cold,reduced,dark_cyanotic,more_3_sec,depressed,absent,severe,none,more_1_liter,2.0,normal,distend_large,55.0,80.0,serosanguious,2.0,yes,3205,0,0,no,euthanized
290,no,adult,527734,37.5,64.0,12.0,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,slight,none,less_1_liter,4.5,normal,firm,43.0,6.6,cloudy,4.3,no,5400,0,0,yes,died
291,yes,adult,5287179,37.7,68.0,20.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,3.0,decreased,firm,39.0,7.0,clear,7.0,yes,3111,0,0,yes,lived
292,no,adult,529840,37.2,112.0,16.0,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,slight,slight,more_1_liter,5.0,absent,distend_small,69.0,6.0,serosanguious,2.6,yes,2205,0,0,no,lived
293,no,adult,529642,38.5,48.0,16.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,more_1_liter,5.0,decreased,other,49.0,8.1,clear,5.0,no,3111,0,0,yes,lived
294,yes,adult,534753,38.6,60.0,30.0,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,slight,none,less_1_liter,1.0,absent,distend_small,33.0,70.0,serosanguious,1.0,yes,2209,0,0,yes,lived
295,yes,adult,534963,38.1,52.0,20.0,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,moderate,none,more_1_liter,2.0,decreased,distend_small,26.0,75.0,cloudy,2.0,yes,2209,0,0,no,lived
296,yes,adult,534917,37.1,84.0,40.0,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,severe,significant,less_1_liter,2.0,absent,distend_large,75.0,81.0,clear,2.0,yes,1400,0,0,no,euthanized
297,yes,adult,528183,37.3,80.0,36.0,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,hypomotile,slight,none,none,2.0,increased,distend_small,44.0,6.8,serosanguious,10.1,yes,2205,0,0,yes,died
298,yes,adult,529667,39.0,64.0,36.0,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,none,slight,less_1_liter,7.0,absent,distend_large,40.0,7.0,serosanguious,2.0,yes,2113,0,0,no,lived
299,yes,adult,533871,37.5,88.0,20.0,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,2.0,absent,distend_small,35.0,65.0,serosanguious,2.0,yes,2208,0,0,no,euthanized
300,yes,young,529663,38.0,124.0,36.0,normal,reduced,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,none,none,4.0,increased,distend_large,35.0,7.5,cloudy,4.3,yes,7111,0,0,yes,died
301,no,young,529461,38.6,108.0,40.0,normal,reduced,pale_pink,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,5.5,absent,distend_large,37.0,7.8,serosanguious,4.3,no,1400,0,0,yes,died
302,yes,adult,530034,39.8,128.0,36.0,cool,reduced,pale_pink,more_3_sec,extreme_pain,hypomotile,moderate,slight,more_1_liter,5.0,absent,distend_large,52.0,6.5,serosanguious,3.4,yes,5400,0,0,no,died
303,yes,adult,529663,38.0,132.0,12.0,cool,reduced,bright_red,more_3_sec,depressed,absent,slight,slight,more_1_liter,7.0,absent,distend_small,75.0,7.5,serosanguious,6.6,yes,2206,0,0,yes,died
304,no,adult,534293,38.2,130.0,48.0,cold,reduced,pale_cyanotic,less_3_sec,depressed,absent,severe,none,more_1_liter,2.0,absent,distend_small,65.0,82.0,cloudy,2.0,no,2209,1400,0,yes,euthanized
305,yes,adult,5291329,37.8,60.0,32.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,2.0,decreased,distend_small,43.0,8.0,serosanguious,2.6,yes,2208,0,0,no,died
306,yes,adult,529160,38.3,132.0,32.0,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,severe,none,more_1_liter,2.0,absent,distend_large,57.0,8.1,cloudy,2.0,no,3205,0,0,no,euthanized
307,yes,young,5287179,38.2,52.0,18.0,normal,normal,pale_pink,less_3_sec,severe_pain,hypomotile,none,slight,more_1_liter,5.7,normal,distend_small,48.0,7.2,clear,2.0,yes,2205,0,0,no,died
308,yes,adult,534917,37.8,60.0,30.0,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,slight,slight,none,2.0,absent,distend_large,46.0,81.0,serosanguious,2.0,yes,4205,0,0,no,lived
309,no,adult,529703,39.0,64.0,40.0,normal,normal,bright_red,less_3_sec,mild_pain,hypomotile,slight,slight,none,7.0,decreased,firm,42.0,7.5,cloudy,2.3,no,5000,0,0,yes,lived
310,no,adult,533885,38.1,60.0,20.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,1.0,absent,distend_small,65.0,81.0,clear,2.0,yes,2205,0,0,no,euthanized
311,yes,adult,529518,39.2,86.0,28.0,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,slight,none,more_1_liter,5.4,decreased,distend_large,73.0,6.2,serosanguious,3.4,yes,5400,0,0,no,died
312,no,adult,529461,40.3,114.0,36.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,none,none,7.0,normal,distend_large,57.0,8.0,serosanguious,4.8,no,3025,0,0,yes,died
313,no,adult,534157,38.1,86.0,40.0,cool,reduced,dark_cyanotic,less_3_sec,depressed,absent,moderate,significant,more_1_liter,2.0,decreased,other,41.0,65.0,cloudy,2.0,no,2322,0,0,no,euthanized
314,yes,adult,528890,38.9,80.0,44.0,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,significant,less_1_liter,7.0,decreased,normal,54.0,54.0,serosanguious,2.0,yes,7111,0,0,no,died
315,yes,adult,530360,38.1,52.0,16.0,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,moderate,slight,less_1_liter,2.0,absent,distend_large,47.0,6.6,cloudy,2.0,yes,3209,0,0,no,euthanized
316,yes,adult,528548,38.1,66.0,12.0,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,slight,none,3.0,increased,distend_large,44.0,6.0,clear,3.6,yes,2124,0,0,yes,lived
317,yes,adult,5297379,38.8,54.0,24.0,cold,normal,normal_pink,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,6.5,decreased,distend_small,49.0,9.0,cloudy,4.3,yes,2206,0,0,yes,died
318,no,adult,529461,40.3,114.0,36.0,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,none,7.0,absent,distend_large,57.0,8.7,cloudy,4.5,yes,7400,0,0,yes,died
319,yes,adult,533928,37.8,36.0,24.0,normal,reduced,pale_pink,less_3_sec,severe_pain,absent,severe,significant,none,2.0,absent,distend_large,52.0,75.0,serosanguious,2.0,yes,2205,0,0,no,lived
320,yes,adult,533836,39.2,100.0,24.0,cold,reduced,bright_red,more_3_sec,depressed,absent,severe,none,more_1_liter,2.0,absent,distend_large,68.0,64.0,serosanguious,2.0,yes,3205,0,0,no,lived
321,no,adult,528298,38.0,92.0,28.0,cold,reduced,normal_pink,less_3_sec,depressed,absent,none,none,more_1_liter,5.0,normal,normal,45.0,7.5,clear,5.0,no,8300,0,0,yes,euthanized
322,yes,adult,534519,38.8,52.0,16.0,normal,normal,pale_pink,less_3_sec,mild_pain,absent,slight,none,more_1_liter,1.0,decreased,distend_small,42.0,71.0,clear,2.0,no,2113,0,0,no,lived
323,no,adult,530002,38.2,129.0,51.0,cool,reduced,bright_red,more_3_sec,depressed,absent,moderate,none,none,2.0,absent,distend_small,57.0,8.5,serosanguious,2.0,yes,2208,0,0,yes,lived
324,yes,adult,534519,39.0,66.0,80.0,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,slight,slight,none,1.0,absent,distend_small,75.0,81.0,cloudy,2.0,yes,1400,0,0,yes,euthanized
325,yes,adult,5290409,38.2,40.0,84.0,cool,reduced,dark_cyanotic,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,7.0,normal,normal,54.0,6.4,serosanguious,5.3,yes,7400,0,0,yes,died
326,no,adult,534787,38.3,120.0,32.0,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,2.0,absent,distend_large,64.0,86.0,clear,2.0,yes,4205,0,0,no,euthanized
327,yes,adult,521399,39.6,104.0,36.0,normal,reduced,dark_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,5.0,decreased,distend_large,59.0,7.5,cloudy,2.6,yes,1400,0,0,yes,died
328,yes,adult,534917,37.6,84.0,40.0,cool,reduced,normal_pink,less_3_sec,mild_pain,absent,slight,slight,more_1_liter,2.0,absent,distend_small,75.0,81.0,clear,2.0,yes,1400,0,0,yes,euthanized
329,no,adult,527518,38.2,52.0,12.0,normal,normal,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,none,more_1_liter,5.2,absent,distend_large,48.0,7.5,cloudy,3.3,yes,5205,0,0,yes,died
330,no,adult,535196,38.4,48.0,32.0,normal,normal,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,5.0,absent,distend_small,41.0,66.0,cloudy,3.3,yes,2207,0,0,yes,lived
331,yes,adult,529685,38.4,184.0,58.0,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,none,none,none,7.0,decreased,other,42.0,7.5,cloudy,1.7,yes,2124,0,0,yes,lived
332,no,adult,529272,38.6,52.0,16.0,normal,normal,pale_pink,less_3_sec,alert,normal,slight,slight,more_1_liter,5.5,normal,normal,55.0,7.2,cloudy,2.1,no,0,0,0,yes,lived
333,no,adult,529663,37.5,48.0,9.0,normal,normal,normal_pink,less_3_sec,alert,normal,none,slight,more_1_liter,5.5,normal,firm,49.0,8.0,clear,5.0,no,0,0,0,yes,lived
334,yes,adult,528151,38.2,136.0,18.0,normal,reduced,bright_red,less_3_sec,mild_pain,hypomotile,slight,none,more_1_liter,6.2,absent,distend_small,54.0,7.5,cloudy,5.3,yes,2112,0,0,yes,lived
335,yes,adult,530028,38.4,64.0,28.0,cool,reduced,bright_red,less_3_sec,mild_pain,absent,slight,slight,less_1_liter,4.5,absent,distend_small,50.0,7.2,serosanguious,3.6,yes,31110,0,0,yes,died
336,yes,adult,529183,37.9,48.0,14.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,slight,slight,more_1_liter,5.7,absent,distend_large,47.0,6.5,clear,5.3,no,3111,0,0,no,lived
337,no,adult,528548,38.1,54.0,28.0,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,none,less_1_liter,3.0,absent,distend_small,43.0,7.0,clear,3.6,no,2124,0,0,yes,lived
338,no,adult,5297379,38.0,84.0,48.0,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,moderate,none,less_1_liter,4.5,absent,distend_large,49.0,6.6,serosanguious,2.6,yes,4205,0,0,no,died
339,no,adult,530301,38.6,104.0,12.0,cool,reduced,pale_pink,less_3_sec,depressed,hypomotile,slight,slight,more_1_liter,1.0,absent,distend_small,51.0,6.5,serosanguious,1.0,no,3111,0,0,no,euthanized
340,no,adult,527544,37.7,88.0,36.0,normal,normal,bright_pink,less_3_sec,depressed,hypermotile,none,slight,more_1_liter,4.0,increased,firm,50.0,7.0,clear,3.9,no,0,0,0,no,lived
341,no,adult,529461,40.3,114.0,36.0,cool,reduced,normal_pink,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,7.0,normal,distend_large,57.0,8.1,serosanguious,2.6,yes,7400,0,0,no,euthanized
342,yes,adult,529893,39.1,52.0,16.0,cool,normal,pale_pink,more_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,5.3,absent,distend_small,45.0,7.2,serosanguious,5.4,yes,2208,0,0,yes,lived
343,yes,adult,527709,38.9,48.0,24.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,none,less_1_liter,7.0,absent,distend_large,37.0,6.6,clear,1.4,yes,7209,0,0,yes,lived
344,no,adult,529796,37.5,48.0,28.0,warm,normal,normal_pink,less_3_sec,alert,hypermotile,none,none,less_1_liter,3.5,increased,other,44.0,9.1,clear,4.5,no,3111,0,0,yes,lived
345,yes,young,5294369,38.9,120.0,40.0,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,none,7.0,decreased,distend_small,47.0,54.0,serosanguious,2.0,yes,2124,0,0,no,lived
346,yes,adult,528523,38.1,66.0,12.0,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,slight,none,none,3.0,decreased,distend_small,50.0,7.0,cloudy,3.6,yes,2208,0,0,yes,lived
347,yes,adult,535043,39.3,88.0,51.0,cold,absent,dark_cyanotic,less_3_sec,mild_pain,absent,none,none,more_1_liter,2.0,absent,distend_small,66.0,13.0,serosanguious,2.0,yes,2113,0,0,yes,lived
348,no,young,528702,39.1,114.0,36.0,cool,normal,bright_pink,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,4.4,normal,distend_small,47.0,6.2,cloudy,3.9,no,2208,0,0,yes,euthanized
349,no,adult,530478,38.1,60.0,16.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,6.5,normal,firm,42.0,7.2,clear,8.0,no,3111,0,0,yes,lived
350,yes,adult,5290759,37.2,108.0,30.0,cool,reduced,pale_pink,less_3_sec,depressed,absent,slight,slight,more_1_liter,5.3,absent,distend_small,40.0,8.6,serosanguious,4.3,yes,3111,0,0,yes,lived
351,yes,adult,528248,37.5,48.0,12.0,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,none,slight,more_1_liter,5.5,normal,distend_large,38.0,7.2,cloudy,2.6,no,31110,0,0,yes,lived
352,no,adult,528469,38.5,68.0,12.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,5.3,normal,distend_large,44.0,7.0,clear,1.6,no,0,0,0,yes,lived
353,yes,adult,530002,39.1,100.0,51.0,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,severe,none,none,4.4,absent,distend_large,52.0,7.8,serosanguious,2.9,yes,2124,0,0,yes,lived
354,yes,adult,529642,40.8,108.0,12.0,cool,reduced,pale_cyanotic,less_3_sec,depressed,absent,slight,slight,none,4.0,absent,distend_small,48.0,8.3,serosanguious,4.3,yes,2205,0,0,yes,died
355,no,adult,530002,38.5,52.0,51.0,normal,reduced,bright_pink,less_3_sec,alert,hypomotile,moderate,slight,more_1_liter,5.5,absent,distend_large,53.0,7.2,clear,2.9,yes,2124,0,0,no,lived
356,yes,adult,527758,38.1,84.0,20.0,normal,normal,normal_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,5.0,decreased,distend_small,49.0,9.1,cloudy,4.3,yes,2208,0,0,yes,lived
357,no,adult,529663,38.1,114.0,24.0,cool,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,moderate,none,none,4.0,absent,distend_small,57.0,6.1,serosanguious,4.4,yes,2208,0,0,yes,died
358,no,adult,529172,37.6,96.0,40.0,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,severe,slight,less_1_liter,4.5,decreased,distend_large,60.0,7.5,cloudy,2.8,no,4300,0,0,yes,died
359,yes,adult,534069,38.4,52.0,40.0,normal,reduced,bright_pink,less_3_sec,severe_pain,hypomotile,slight,slight,more_1_liter,7.0,absent,distend_small,40.0,7.5,cloudy,2.8,yes,1400,0,0,no,euthanized
360,yes,adult,535085,39.5,114.0,48.0,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,7.0,absent,distend_small,59.0,8.0,serosanguious,2.0,yes,2208,0,0,no,died
361,yes,adult,535043,37.4,100.0,51.0,cold,absent,dark_cyanotic,less_3_sec,severe_pain,absent,none,none,more_1_liter,2.0,absent,distend_small,66.0,13.0,serosanguious,2.0,yes,2208,0,0,no,euthanized
362,yes,adult,534933,37.5,84.0,36.0,cool,absent,bright_red,less_3_sec,depressed,absent,severe,none,more_1_liter,2.0,absent,distend_large,48.0,64.0,cloudy,2.0,no,1400,0,0,no,euthanized
363,yes,adult,529428,39.4,108.0,24.0,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,7.0,absent,distend_small,52.0,6.5,serosanguious,4.5,yes,2124,0,0,no,euthanized
364,yes,adult,527933,38.1,48.0,16.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,none,7.0,normal,distend_large,49.0,7.2,clear,8.0,yes,31110,0,0,yes,lived
365,no,adult,523190,38.0,112.0,36.0,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,5.2,absent,distend_small,73.0,8.5,serosanguious,8.0,yes,1400,0,0,yes,euthanized
366,no,adult,528729,38.1,48.0,24.0,normal,normal,pale_pink,less_3_sec,alert,normal,none,slight,none,7.0,normal,normal,49.0,8.5,clear,1.3,no,0,0,0,yes,lived
367,yes,adult,529667,39.0,64.0,36.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,slight,slight,none,7.0,normal,distend_large,59.0,8.5,serosanguious,2.0,yes,2113,0,0,no,lived
368,no,adult,529183,37.5,96.0,18.0,cold,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,4.0,decreased,distend_small,47.0,7.5,serosanguious,4.1,yes,2205,0,0,no,died
369,yes,adult,533928,37.3,60.0,24.0,normal,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,slight,none,2.0,absent,distend_large,52.0,75.0,cloudy,2.0,yes,2205,0,0,yes,euthanized
370,yes,adult,529172,37.3,40.0,30.0,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,slight,slight,less_1_liter,6.5,absent,distend_small,51.0,8.1,serosanguious,4.3,yes,2208,0,0,yes,lived
371,yes,adult,5290482,38.2,52.0,20.0,cool,normal,bright_red,less_3_sec,alert,normal,none,none,more_1_liter,5.0,normal,distend_large,28.0,7.7,cloudy,4.3,yes,3111,0,0,yes,lived
372,yes,adult,530526,36.1,98.0,40.0,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,slight,significant,less_1_liter,7.0,absent,distend_small,47.0,7.0,serosanguious,3.2,yes,2208,0,0,yes,lived
373,yes,adult,533847,38.3,60.0,24.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,slight,none,2.0,absent,distend_large,55.0,64.0,serosanguious,2.0,yes,3205,0,0,no,euthanized
374,yes,adult,5294369,38.7,100.0,20.0,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,none,slight,none,7.0,normal,normal,40.0,7.0,clear,8.0,yes,3111,0,0,yes,lived
375,no,adult,528247,38.0,48.0,16.0,cool,reduced,pale_cyanotic,more_3_sec,alert,absent,slight,slight,more_1_liter,5.0,decreased,other,48.0,7.2,clear,3.7,no,400,0,0,no,lived
376,yes,adult,528729,37.0,52.0,12.0,cool,normal,normal_pink,less_3_sec,mild_pain,normal,slight,slight,more_1_liter,5.0,normal,distend_small,44.0,8.1,cloudy,1.6,yes,2208,0,0,yes,lived
377,yes,adult,530251,38.6,88.0,14.0,cool,reduced,pale_pink,less_3_sec,mild_pain,absent,moderate,slight,less_1_liter,3.5,increased,distend_small,47.0,5.7,cloudy,3.0,yes,31110,0,0,yes,lived
378,yes,adult,533738,37.5,48.0,16.0,normal,normal,normal_pink,less_3_sec,alert,normal,none,slight,more_1_liter,5.5,normal,normal,36.0,56.0,cloudy,3.4,no,3113,0,0,no,lived
379,yes,adult,527706,37.8,84.0,32.0,cool,normal,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,none,more_1_liter,7.0,absent,distend_small,45.0,6.6,serosanguious,2.3,yes,2202,0,0,no,died
380,no,adult,521399,37.1,96.0,36.0,cool,normal,pale_cyanotic,more_3_sec,depressed,absent,slight,none,more_1_liter,5.0,absent,distend_large,48.0,7.2,serosanguious,5.3,yes,1400,0,0,yes,died
381,yes,adult,534197,38.3,40.0,20.0,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,1.0,normal,distend_small,41.0,60.0,serosanguious,2.0,yes,2209,0,0,no,euthanized
